Short_Name,Full_Name
B08519e30,"Public transportation (excluding taxicab):  $10,000 to $14,999:   Workers 16 years and over with earnings -- (Estimate)"
B08519m30,"Public transportation (excluding taxicab):  $10,000 to $14,999:   Workers 16 years and over with earnings -- (Margin of Error)"
B08519e31,"Public transportation (excluding taxicab):  $15,000 to $24,999:   Workers 16 years and over with earnings -- (Estimate)"
B08519m31,"Public transportation (excluding taxicab):  $15,000 to $24,999:   Workers 16 years and over with earnings -- (Margin of Error)"
B08519e32,"Public transportation (excluding taxicab):  $25,000 to $34,999:   Workers 16 years and over with earnings -- (Estimate)"
B08519m32,"Public transportation (excluding taxicab):  $25,000 to $34,999:   Workers 16 years and over with earnings -- (Margin of Error)"
B08519e33,"Public transportation (excluding taxicab):  $35,000 to $49,999:   Workers 16 years and over with earnings -- (Estimate)"
B08519m33,"Public transportation (excluding taxicab):  $35,000 to $49,999:   Workers 16 years and over with earnings -- (Margin of Error)"
B08519e34,"Public transportation (excluding taxicab):  $50,000 to $64,999:   Workers 16 years and over with earnings -- (Estimate)"
B08519m34,"Public transportation (excluding taxicab):  $50,000 to $64,999:   Workers 16 years and over with earnings -- (Margin of Error)"
B08519e35,"Public transportation (excluding taxicab):  $65,000 to $74,999:   Workers 16 years and over with earnings -- (Estimate)"
B08519m35,"Public transportation (excluding taxicab):  $65,000 to $74,999:   Workers 16 years and over with earnings -- (Margin of Error)"
B08519e36,"Public transportation (excluding taxicab):  $75,000 or more:   Workers 16 years and over with earnings -- (Estimate)"
B08519m36,"Public transportation (excluding taxicab):  $75,000 or more:   Workers 16 years and over with earnings -- (Margin of Error)"
B08519e37,Walked:   Workers 16 years and over with earnings -- (Estimate)
B08519m37,Walked:   Workers 16 years and over with earnings -- (Margin of Error)
B08519e38,"Walked:  $1 to $9,999 or loss:   Workers 16 years and over with earnings -- (Estimate)"
B08519m38,"Walked:  $1 to $9,999 or loss:   Workers 16 years and over with earnings -- (Margin of Error)"
B08519e39,"Walked:  $10,000 to $14,999:   Workers 16 years and over with earnings -- (Estimate)"
B08519m39,"Walked:  $10,000 to $14,999:   Workers 16 years and over with earnings -- (Margin of Error)"
B08519e40,"Walked:  $15,000 to $24,999:   Workers 16 years and over with earnings -- (Estimate)"
B08519m40,"Walked:  $15,000 to $24,999:   Workers 16 years and over with earnings -- (Margin of Error)"
B08519e41,"Walked:  $25,000 to $34,999:   Workers 16 years and over with earnings -- (Estimate)"
B08519m41,"Walked:  $25,000 to $34,999:   Workers 16 years and over with earnings -- (Margin of Error)"
B08519e42,"Walked:  $35,000 to $49,999:   Workers 16 years and over with earnings -- (Estimate)"
B08519m42,"Walked:  $35,000 to $49,999:   Workers 16 years and over with earnings -- (Margin of Error)"
B08519e43,"Walked:  $50,000 to $64,999:   Workers 16 years and over with earnings -- (Estimate)"
B08519m43,"Walked:  $50,000 to $64,999:   Workers 16 years and over with earnings -- (Margin of Error)"
B08519e44,"Walked:  $65,000 to $74,999:   Workers 16 years and over with earnings -- (Estimate)"
B08519m44,"Walked:  $65,000 to $74,999:   Workers 16 years and over with earnings -- (Margin of Error)"
B08519e45,"Walked:  $75,000 or more:   Workers 16 years and over with earnings -- (Estimate)"
B08519m45,"Walked:  $75,000 or more:   Workers 16 years and over with earnings -- (Margin of Error)"
B08519e46,"Taxicab, motorcycle, bicycle, or other means:   Workers 16 years and over with earnings -- (Estimate)"
B08519m46,"Taxicab, motorcycle, bicycle, or other means:   Workers 16 years and over with earnings -- (Margin of Error)"
B08519e47,"Taxicab, motorcycle, bicycle, or other means:  $1 to $9,999 or loss:   Workers 16 years and over with earnings -- (Estimate)"
B08519m47,"Taxicab, motorcycle, bicycle, or other means:  $1 to $9,999 or loss:   Workers 16 years and over with earnings -- (Margin of Error)"
B08519e48,"Taxicab, motorcycle, bicycle, or other means:  $10,000 to $14,999:   Workers 16 years and over with earnings -- (Estimate)"
B08519m48,"Taxicab, motorcycle, bicycle, or other means:  $10,000 to $14,999:   Workers 16 years and over with earnings -- (Margin of Error)"
B08519e49,"Taxicab, motorcycle, bicycle, or other means:  $15,000 to $24,999:   Workers 16 years and over with earnings -- (Estimate)"
B08519m49,"Taxicab, motorcycle, bicycle, or other means:  $15,000 to $24,999:   Workers 16 years and over with earnings -- (Margin of Error)"
B08519e50,"Taxicab, motorcycle, bicycle, or other means:  $25,000 to $34,999:   Workers 16 years and over with earnings -- (Estimate)"
B08519m50,"Taxicab, motorcycle, bicycle, or other means:  $25,000 to $34,999:   Workers 16 years and over with earnings -- (Margin of Error)"
B08519e51,"Taxicab, motorcycle, bicycle, or other means:  $35,000 to $49,999:   Workers 16 years and over with earnings -- (Estimate)"
B08519m51,"Taxicab, motorcycle, bicycle, or other means:  $35,000 to $49,999:   Workers 16 years and over with earnings -- (Margin of Error)"
B08519e52,"Taxicab, motorcycle, bicycle, or other means:  $50,000 to $64,999:   Workers 16 years and over with earnings -- (Estimate)"
B08519m52,"Taxicab, motorcycle, bicycle, or other means:  $50,000 to $64,999:   Workers 16 years and over with earnings -- (Margin of Error)"
B08519e53,"Taxicab, motorcycle, bicycle, or other means:  $65,000 to $74,999:   Workers 16 years and over with earnings -- (Estimate)"
B08519m53,"Taxicab, motorcycle, bicycle, or other means:  $65,000 to $74,999:   Workers 16 years and over with earnings -- (Margin of Error)"
B08519e54,"Taxicab, motorcycle, bicycle, or other means:  $75,000 or more:   Workers 16 years and over with earnings -- (Estimate)"
B08519m54,"Taxicab, motorcycle, bicycle, or other means:  $75,000 or more:   Workers 16 years and over with earnings -- (Margin of Error)"
B08519e55,Worked at home:   Workers 16 years and over with earnings -- (Estimate)
B08519m55,Worked at home:   Workers 16 years and over with earnings -- (Margin of Error)
B08519e56,"Worked at home:  $1 to $9,999 or loss:   Workers 16 years and over with earnings -- (Estimate)"
B08519m56,"Worked at home:  $1 to $9,999 or loss:   Workers 16 years and over with earnings -- (Margin of Error)"
B08519e57,"Worked at home:  $10,000 to $14,999:   Workers 16 years and over with earnings -- (Estimate)"
B08519m57,"Worked at home:  $10,000 to $14,999:   Workers 16 years and over with earnings -- (Margin of Error)"
B08519e58,"Worked at home:  $15,000 to $24,999:   Workers 16 years and over with earnings -- (Estimate)"
B08519m58,"Worked at home:  $15,000 to $24,999:   Workers 16 years and over with earnings -- (Margin of Error)"
B08519e59,"Worked at home:  $25,000 to $34,999:   Workers 16 years and over with earnings -- (Estimate)"
B08519m59,"Worked at home:  $25,000 to $34,999:   Workers 16 years and over with earnings -- (Margin of Error)"
B08519e60,"Worked at home:  $35,000 to $49,999:   Workers 16 years and over with earnings -- (Estimate)"
B08519m60,"Worked at home:  $35,000 to $49,999:   Workers 16 years and over with earnings -- (Margin of Error)"
B08519e61,"Worked at home:  $50,000 to $64,999:   Workers 16 years and over with earnings -- (Estimate)"
B08519m61,"Worked at home:  $50,000 to $64,999:   Workers 16 years and over with earnings -- (Margin of Error)"
B08519e62,"Worked at home:  $65,000 to $74,999:   Workers 16 years and over with earnings -- (Estimate)"
B08519m62,"Worked at home:  $65,000 to $74,999:   Workers 16 years and over with earnings -- (Margin of Error)"
B08519e63,"Worked at home:  $75,000 or more:   Workers 16 years and over with earnings -- (Estimate)"
B08519m63,"Worked at home:  $75,000 or more:   Workers 16 years and over with earnings -- (Margin of Error)"
B08521e1,Median earnings in the past 12 months -- Total:   Workers 16 years and over with earnings -- (Estimate)
B08521m1,Median earnings in the past 12 months -- Total:   Workers 16 years and over with earnings -- (Margin of Error)
B08521e2,"Median earnings in the past 12 months -- Car, truck, or van - drove alone:   Workers 16 years and over with earnings -- (Estimate)"
B08521m2,"Median earnings in the past 12 months -- Car, truck, or van - drove alone:   Workers 16 years and over with earnings -- (Margin of Error)"
B08521e3,"Median earnings in the past 12 months -- Car, truck, or van - carpooled:   Workers 16 years and over with earnings -- (Estimate)"
B08521m3,"Median earnings in the past 12 months -- Car, truck, or van - carpooled:   Workers 16 years and over with earnings -- (Margin of Error)"
B08521e4,Median earnings in the past 12 months -- Public transportation (excluding taxicab):   Workers 16 years and over with earnings -- (Estimate)
B08521m4,Median earnings in the past 12 months -- Public transportation (excluding taxicab):   Workers 16 years and over with earnings -- (Margin of Error)
B08521e5,Median earnings in the past 12 months -- Walked:   Workers 16 years and over with earnings -- (Estimate)
B08521m5,Median earnings in the past 12 months -- Walked:   Workers 16 years and over with earnings -- (Margin of Error)
B08521e6,"Median earnings in the past 12 months -- Taxicab, motorcycle, bicycle, or other means:   Workers 16 years and over with earnings -- (Estimate)"
B08521m6,"Median earnings in the past 12 months -- Taxicab, motorcycle, bicycle, or other means:   Workers 16 years and over with earnings -- (Margin of Error)"
B08521e7,Median earnings in the past 12 months -- Worked at home:   Workers 16 years and over with earnings -- (Estimate)
B08521m7,Median earnings in the past 12 months -- Worked at home:   Workers 16 years and over with earnings -- (Margin of Error)
B08522e1,Total:   Workers 16 years and over for whom poverty status is determined -- (Estimate)
B08522m1,Total:   Workers 16 years and over for whom poverty status is determined -- (Margin of Error)
B08522e2,Below 100 percent of the poverty level:   Workers 16 years and over for whom poverty status is determined -- (Estimate)
B08522m2,Below 100 percent of the poverty level:   Workers 16 years and over for whom poverty status is determined -- (Margin of Error)
B08522e3,100 to 149 percent of the poverty level:   Workers 16 years and over for whom poverty status is determined -- (Estimate)
B08522m3,100 to 149 percent of the poverty level:   Workers 16 years and over for whom poverty status is determined -- (Margin of Error)
B08522e4,At or above 150 percent of the poverty level:   Workers 16 years and over for whom poverty status is determined -- (Estimate)
B08522m4,At or above 150 percent of the poverty level:   Workers 16 years and over for whom poverty status is determined -- (Margin of Error)
B08522e5,"Car, truck, or van - drove alone:   Workers 16 years and over for whom poverty status is determined -- (Estimate)"
B08522m5,"Car, truck, or van - drove alone:   Workers 16 years and over for whom poverty status is determined -- (Margin of Error)"
B08522e6,"Car, truck, or van - drove alone:  Below 100 percent of the poverty level:   Workers 16 years and over for whom poverty status is determined -- (Estimate)"
B08522m6,"Car, truck, or van - drove alone:  Below 100 percent of the poverty level:   Workers 16 years and over for whom poverty status is determined -- (Margin of Error)"
B08522e7,"Car, truck, or van - drove alone:  100 to 149 percent of the poverty level:   Workers 16 years and over for whom poverty status is determined -- (Estimate)"
B08522m7,"Car, truck, or van - drove alone:  100 to 149 percent of the poverty level:   Workers 16 years and over for whom poverty status is determined -- (Margin of Error)"
B08522e8,"Car, truck, or van - drove alone:  At or above 150 percent of the poverty level:   Workers 16 years and over for whom poverty status is determined -- (Estimate)"
B08522m8,"Car, truck, or van - drove alone:  At or above 150 percent of the poverty level:   Workers 16 years and over for whom poverty status is determined -- (Margin of Error)"
B08522e9,"Car, truck, or van - carpooled:   Workers 16 years and over for whom poverty status is determined -- (Estimate)"
B08522m9,"Car, truck, or van - carpooled:   Workers 16 years and over for whom poverty status is determined -- (Margin of Error)"
B08522e10,"Car, truck, or van - carpooled:  Below 100 percent of the poverty level:   Workers 16 years and over for whom poverty status is determined -- (Estimate)"
B08522m10,"Car, truck, or van - carpooled:  Below 100 percent of the poverty level:   Workers 16 years and over for whom poverty status is determined -- (Margin of Error)"
B08522e11,"Car, truck, or van - carpooled:  100 to 149 percent of the poverty level:   Workers 16 years and over for whom poverty status is determined -- (Estimate)"
B08522m11,"Car, truck, or van - carpooled:  100 to 149 percent of the poverty level:   Workers 16 years and over for whom poverty status is determined -- (Margin of Error)"
B08522e12,"Car, truck, or van - carpooled:  At or above 150 percent of the poverty level:   Workers 16 years and over for whom poverty status is determined -- (Estimate)"
B08522m12,"Car, truck, or van - carpooled:  At or above 150 percent of the poverty level:   Workers 16 years and over for whom poverty status is determined -- (Margin of Error)"
B08522e13,Public transportation (excluding taxicab):   Workers 16 years and over for whom poverty status is determined -- (Estimate)
B08522m13,Public transportation (excluding taxicab):   Workers 16 years and over for whom poverty status is determined -- (Margin of Error)
B08522e14,Public transportation (excluding taxicab):  Below 100 percent of the poverty level:   Workers 16 years and over for whom poverty status is determined -- (Estimate)
B08522m14,Public transportation (excluding taxicab):  Below 100 percent of the poverty level:   Workers 16 years and over for whom poverty status is determined -- (Margin of Error)
B08522e15,Public transportation (excluding taxicab):  100 to 149 percent of the poverty level:   Workers 16 years and over for whom poverty status is determined -- (Estimate)
B08522m15,Public transportation (excluding taxicab):  100 to 149 percent of the poverty level:   Workers 16 years and over for whom poverty status is determined -- (Margin of Error)
B08522e16,Public transportation (excluding taxicab):  At or above 150 percent of the poverty level:   Workers 16 years and over for whom poverty status is determined -- (Estimate)
B08522m16,Public transportation (excluding taxicab):  At or above 150 percent of the poverty level:   Workers 16 years and over for whom poverty status is determined -- (Margin of Error)
B08522e17,Walked:   Workers 16 years and over for whom poverty status is determined -- (Estimate)
B08522m17,Walked:   Workers 16 years and over for whom poverty status is determined -- (Margin of Error)
B08522e18,Walked:  Below 100 percent of the poverty level:   Workers 16 years and over for whom poverty status is determined -- (Estimate)
B08522m18,Walked:  Below 100 percent of the poverty level:   Workers 16 years and over for whom poverty status is determined -- (Margin of Error)
B08522e19,Walked:  100 to 149 percent of the poverty level:   Workers 16 years and over for whom poverty status is determined -- (Estimate)
B08522m19,Walked:  100 to 149 percent of the poverty level:   Workers 16 years and over for whom poverty status is determined -- (Margin of Error)
B08522e20,Walked:  At or above 150 percent of the poverty level:   Workers 16 years and over for whom poverty status is determined -- (Estimate)
B08522m20,Walked:  At or above 150 percent of the poverty level:   Workers 16 years and over for whom poverty status is determined -- (Margin of Error)
B08522e21,"Taxicab, motorcycle, bicycle, or other means:   Workers 16 years and over for whom poverty status is determined -- (Estimate)"
B08522m21,"Taxicab, motorcycle, bicycle, or other means:   Workers 16 years and over for whom poverty status is determined -- (Margin of Error)"
B08522e22,"Taxicab, motorcycle, bicycle, or other means:  Below 100 percent of the poverty level:   Workers 16 years and over for whom poverty status is determined -- (Estimate)"
B08522m22,"Taxicab, motorcycle, bicycle, or other means:  Below 100 percent of the poverty level:   Workers 16 years and over for whom poverty status is determined -- (Margin of Error)"
B08522e23,"Taxicab, motorcycle, bicycle, or other means:  100 to 149 percent of the poverty level:   Workers 16 years and over for whom poverty status is determined -- (Estimate)"
B08522m23,"Taxicab, motorcycle, bicycle, or other means:  100 to 149 percent of the poverty level:   Workers 16 years and over for whom poverty status is determined -- (Margin of Error)"
B08522e24,"Taxicab, motorcycle, bicycle, or other means:  At or above 150 percent of the poverty level:   Workers 16 years and over for whom poverty status is determined -- (Estimate)"
B08522m24,"Taxicab, motorcycle, bicycle, or other means:  At or above 150 percent of the poverty level:   Workers 16 years and over for whom poverty status is determined -- (Margin of Error)"
B08522e25,Worked at home:   Workers 16 years and over for whom poverty status is determined -- (Estimate)
B08522m25,Worked at home:   Workers 16 years and over for whom poverty status is determined -- (Margin of Error)
B08522e26,Worked at home:  Below 100 percent of the poverty level:   Workers 16 years and over for whom poverty status is determined -- (Estimate)
B08522m26,Worked at home:  Below 100 percent of the poverty level:   Workers 16 years and over for whom poverty status is determined -- (Margin of Error)
B08522e27,Worked at home:  100 to 149 percent of the poverty level:   Workers 16 years and over for whom poverty status is determined -- (Estimate)
B08522m27,Worked at home:  100 to 149 percent of the poverty level:   Workers 16 years and over for whom poverty status is determined -- (Margin of Error)
B08522e28,Worked at home:  At or above 150 percent of the poverty level:   Workers 16 years and over for whom poverty status is determined -- (Estimate)
B08522m28,Worked at home:  At or above 150 percent of the poverty level:   Workers 16 years and over for whom poverty status is determined -- (Margin of Error)
B08524e1,Total:   Workers 16 years and over -- (Estimate)
B08524m1,Total:   Workers 16 years and over -- (Margin of Error)
B08524e2,"Management, business, science, and arts occupations:   Workers 16 years and over -- (Estimate)"
B08524m2,"Management, business, science, and arts occupations:   Workers 16 years and over -- (Margin of Error)"
B08524e3,Service occupations:   Workers 16 years and over -- (Estimate)
B08524m3,Service occupations:   Workers 16 years and over -- (Margin of Error)
B08524e4,Sales and office occupations:   Workers 16 years and over -- (Estimate)
B08524m4,Sales and office occupations:   Workers 16 years and over -- (Margin of Error)
B08524e5,"Natural resources, construction, and maintenance occupations:   Workers 16 years and over -- (Estimate)"
B08524m5,"Natural resources, construction, and maintenance occupations:   Workers 16 years and over -- (Margin of Error)"
B08524e6,"Production, transportation, and material moving occupations:   Workers 16 years and over -- (Estimate)"
B08524m6,"Production, transportation, and material moving occupations:   Workers 16 years and over -- (Margin of Error)"
B08524e7,Military specific occupations:   Workers 16 years and over -- (Estimate)
B08524m7,Military specific occupations:   Workers 16 years and over -- (Margin of Error)
B08524e8,"Car, truck, or van - drove alone:   Workers 16 years and over -- (Estimate)"
B08524m8,"Car, truck, or van - drove alone:   Workers 16 years and over -- (Margin of Error)"
B08524e9,"Car, truck, or van - drove alone:  Management, business, science, and arts occupations:   Workers 16 years and over -- (Estimate)"
B08524m9,"Car, truck, or van - drove alone:  Management, business, science, and arts occupations:   Workers 16 years and over -- (Margin of Error)"
B08524e10,"Car, truck, or van - drove alone:  Service occupations:   Workers 16 years and over -- (Estimate)"
B08524m10,"Car, truck, or van - drove alone:  Service occupations:   Workers 16 years and over -- (Margin of Error)"
B08524e11,"Car, truck, or van - drove alone:  Sales and office occupations:   Workers 16 years and over -- (Estimate)"
B08524m11,"Car, truck, or van - drove alone:  Sales and office occupations:   Workers 16 years and over -- (Margin of Error)"
B08524e12,"Car, truck, or van - drove alone:  Natural resources, construction, and maintenance occupations:   Workers 16 years and over -- (Estimate)"
B08524m12,"Car, truck, or van - drove alone:  Natural resources, construction, and maintenance occupations:   Workers 16 years and over -- (Margin of Error)"
B08524e13,"Car, truck, or van - drove alone:  Production, transportation, and material moving occupations:   Workers 16 years and over -- (Estimate)"
B08524m13,"Car, truck, or van - drove alone:  Production, transportation, and material moving occupations:   Workers 16 years and over -- (Margin of Error)"
B08524e14,"Car, truck, or van - drove alone:  Military specific occupations:   Workers 16 years and over -- (Estimate)"
B08524m14,"Car, truck, or van - drove alone:  Military specific occupations:   Workers 16 years and over -- (Margin of Error)"
B08524e15,"Car, truck, or van - carpooled:   Workers 16 years and over -- (Estimate)"
B08524m15,"Car, truck, or van - carpooled:   Workers 16 years and over -- (Margin of Error)"
B08524e16,"Car, truck, or van - carpooled:  Management, business, science, and arts occupations:   Workers 16 years and over -- (Estimate)"
B08524m16,"Car, truck, or van - carpooled:  Management, business, science, and arts occupations:   Workers 16 years and over -- (Margin of Error)"
B08524e17,"Car, truck, or van - carpooled:  Service occupations:   Workers 16 years and over -- (Estimate)"
B08524m17,"Car, truck, or van - carpooled:  Service occupations:   Workers 16 years and over -- (Margin of Error)"
B08524e18,"Car, truck, or van - carpooled:  Sales and office occupations:   Workers 16 years and over -- (Estimate)"
B08524m18,"Car, truck, or van - carpooled:  Sales and office occupations:   Workers 16 years and over -- (Margin of Error)"
B08524e19,"Car, truck, or van - carpooled:  Natural resources, construction, and maintenance occupations:   Workers 16 years and over -- (Estimate)"
B08524m19,"Car, truck, or van - carpooled:  Natural resources, construction, and maintenance occupations:   Workers 16 years and over -- (Margin of Error)"
B08524e20,"Car, truck, or van - carpooled:  Production, transportation, and material moving occupations:   Workers 16 years and over -- (Estimate)"
B08524m20,"Car, truck, or van - carpooled:  Production, transportation, and material moving occupations:   Workers 16 years and over -- (Margin of Error)"
B08524e21,"Car, truck, or van - carpooled:  Military specific occupations:   Workers 16 years and over -- (Estimate)"
B08524m21,"Car, truck, or van - carpooled:  Military specific occupations:   Workers 16 years and over -- (Margin of Error)"
B08524e22,Public transportation (excluding taxicab):   Workers 16 years and over -- (Estimate)
B08524m22,Public transportation (excluding taxicab):   Workers 16 years and over -- (Margin of Error)
B08524e23,"Public transportation (excluding taxicab):  Management, business, science, and arts occupations:   Workers 16 years and over -- (Estimate)"
B08524m23,"Public transportation (excluding taxicab):  Management, business, science, and arts occupations:   Workers 16 years and over -- (Margin of Error)"
B08524e24,Public transportation (excluding taxicab):  Service occupations:   Workers 16 years and over -- (Estimate)
B08524m24,Public transportation (excluding taxicab):  Service occupations:   Workers 16 years and over -- (Margin of Error)
B08524e25,Public transportation (excluding taxicab):  Sales and office occupations:   Workers 16 years and over -- (Estimate)
B08524m25,Public transportation (excluding taxicab):  Sales and office occupations:   Workers 16 years and over -- (Margin of Error)
B08524e26,"Public transportation (excluding taxicab):  Natural resources, construction, and maintenance occupations:   Workers 16 years and over -- (Estimate)"
B08524m26,"Public transportation (excluding taxicab):  Natural resources, construction, and maintenance occupations:   Workers 16 years and over -- (Margin of Error)"
B08524e27,"Public transportation (excluding taxicab):  Production, transportation, and material moving occupations:   Workers 16 years and over -- (Estimate)"
B08524m27,"Public transportation (excluding taxicab):  Production, transportation, and material moving occupations:   Workers 16 years and over -- (Margin of Error)"
B08524e28,Public transportation (excluding taxicab):  Military specific occupations:   Workers 16 years and over -- (Estimate)
B08524m28,Public transportation (excluding taxicab):  Military specific occupations:   Workers 16 years and over -- (Margin of Error)
B08524e29,Walked:   Workers 16 years and over -- (Estimate)
B08524m29,Walked:   Workers 16 years and over -- (Margin of Error)
B08524e30,"Walked:  Management, business, science, and arts occupations:   Workers 16 years and over -- (Estimate)"
B08524m30,"Walked:  Management, business, science, and arts occupations:   Workers 16 years and over -- (Margin of Error)"
B08524e31,Walked:  Service occupations:   Workers 16 years and over -- (Estimate)
B08524m31,Walked:  Service occupations:   Workers 16 years and over -- (Margin of Error)
B08524e32,Walked:  Sales and office occupations:   Workers 16 years and over -- (Estimate)
B08524m32,Walked:  Sales and office occupations:   Workers 16 years and over -- (Margin of Error)
B08524e33,"Walked:  Natural resources, construction, and maintenance occupations:   Workers 16 years and over -- (Estimate)"
B08524m33,"Walked:  Natural resources, construction, and maintenance occupations:   Workers 16 years and over -- (Margin of Error)"
B08524e34,"Walked:  Production, transportation, and material moving occupations:   Workers 16 years and over -- (Estimate)"
B08524m34,"Walked:  Production, transportation, and material moving occupations:   Workers 16 years and over -- (Margin of Error)"
B08524e35,Walked:  Military specific occupations:   Workers 16 years and over -- (Estimate)
B08524m35,Walked:  Military specific occupations:   Workers 16 years and over -- (Margin of Error)
B08524e36,"Taxicab, motorcycle, bicycle, or other means:   Workers 16 years and over -- (Estimate)"
B08524m36,"Taxicab, motorcycle, bicycle, or other means:   Workers 16 years and over -- (Margin of Error)"
B08524e37,"Taxicab, motorcycle, bicycle, or other means:  Management, business, science, and arts occupations:   Workers 16 years and over -- (Estimate)"
B08524m37,"Taxicab, motorcycle, bicycle, or other means:  Management, business, science, and arts occupations:   Workers 16 years and over -- (Margin of Error)"
B08524e38,"Taxicab, motorcycle, bicycle, or other means:  Service occupations:   Workers 16 years and over -- (Estimate)"
B08524m38,"Taxicab, motorcycle, bicycle, or other means:  Service occupations:   Workers 16 years and over -- (Margin of Error)"
B08524e39,"Taxicab, motorcycle, bicycle, or other means:  Sales and office occupations:   Workers 16 years and over -- (Estimate)"
B08524m39,"Taxicab, motorcycle, bicycle, or other means:  Sales and office occupations:   Workers 16 years and over -- (Margin of Error)"
B08524e40,"Taxicab, motorcycle, bicycle, or other means:  Natural resources, construction, and maintenance occupations:   Workers 16 years and over -- (Estimate)"
B08524m40,"Taxicab, motorcycle, bicycle, or other means:  Natural resources, construction, and maintenance occupations:   Workers 16 years and over -- (Margin of Error)"
B08524e41,"Taxicab, motorcycle, bicycle, or other means:  Production, transportation, and material moving occupations:   Workers 16 years and over -- (Estimate)"
B08524m41,"Taxicab, motorcycle, bicycle, or other means:  Production, transportation, and material moving occupations:   Workers 16 years and over -- (Margin of Error)"
B08524e42,"Taxicab, motorcycle, bicycle, or other means:  Military specific occupations:   Workers 16 years and over -- (Estimate)"
B08524m42,"Taxicab, motorcycle, bicycle, or other means:  Military specific occupations:   Workers 16 years and over -- (Margin of Error)"
B08524e43,Worked at home:   Workers 16 years and over -- (Estimate)
B08524m43,Worked at home:   Workers 16 years and over -- (Margin of Error)
B08524e44,"Worked at home:  Management, business, science, and arts occupations:   Workers 16 years and over -- (Estimate)"
B08524m44,"Worked at home:  Management, business, science, and arts occupations:   Workers 16 years and over -- (Margin of Error)"
B08524e45,Worked at home:  Service occupations:   Workers 16 years and over -- (Estimate)
B08524m45,Worked at home:  Service occupations:   Workers 16 years and over -- (Margin of Error)
B08524e46,Worked at home:  Sales and office occupations:   Workers 16 years and over -- (Estimate)
B08524m46,Worked at home:  Sales and office occupations:   Workers 16 years and over -- (Margin of Error)
B08524e47,"Worked at home:  Natural resources, construction, and maintenance occupations:   Workers 16 years and over -- (Estimate)"
B08524m47,"Worked at home:  Natural resources, construction, and maintenance occupations:   Workers 16 years and over -- (Margin of Error)"
B08524e48,"Worked at home:  Production, transportation, and material moving occupations:   Workers 16 years and over -- (Estimate)"
B08524m48,"Worked at home:  Production, transportation, and material moving occupations:   Workers 16 years and over -- (Margin of Error)"
B08524e49,Worked at home:  Military specific occupations:   Workers 16 years and over -- (Estimate)
B08524m49,Worked at home:  Military specific occupations:   Workers 16 years and over -- (Margin of Error)
B08526e1,Total:   Workers 16 years and over -- (Estimate)
B08526m1,Total:   Workers 16 years and over -- (Margin of Error)
B08526e2,"Agriculture, forestry, fishing and hunting, and mining:   Workers 16 years and over -- (Estimate)"
B08526m2,"Agriculture, forestry, fishing and hunting, and mining:   Workers 16 years and over -- (Margin of Error)"
B08526e3,Construction:   Workers 16 years and over -- (Estimate)
B08526m3,Construction:   Workers 16 years and over -- (Margin of Error)
B08526e4,Manufacturing:   Workers 16 years and over -- (Estimate)
B08526m4,Manufacturing:   Workers 16 years and over -- (Margin of Error)
B08526e5,Wholesale trade:   Workers 16 years and over -- (Estimate)
B08526m5,Wholesale trade:   Workers 16 years and over -- (Margin of Error)
B08526e6,Retail trade:   Workers 16 years and over -- (Estimate)
B08526m6,Retail trade:   Workers 16 years and over -- (Margin of Error)
B08526e7,"Transportation and warehousing, and utilities:   Workers 16 years and over -- (Estimate)"
B08526m7,"Transportation and warehousing, and utilities:   Workers 16 years and over -- (Margin of Error)"
B08526e8,Information:   Workers 16 years and over -- (Estimate)
B08526m8,Information:   Workers 16 years and over -- (Margin of Error)
B08526e9,"Finance and insurance, and real estate and rental and leasing:   Workers 16 years and over -- (Estimate)"
B08526m9,"Finance and insurance, and real estate and rental and leasing:   Workers 16 years and over -- (Margin of Error)"
B08526e10,"Professional, scientific, and management, and administrative and waste management services:   Workers 16 years and over -- (Estimate)"
B08526m10,"Professional, scientific, and management, and administrative and waste management services:   Workers 16 years and over -- (Margin of Error)"
B08526e11,"Educational services, and health care and social assistance:   Workers 16 years and over -- (Estimate)"
B08526m11,"Educational services, and health care and social assistance:   Workers 16 years and over -- (Margin of Error)"
B08526e12,"Arts, entertainment, and recreation, and accommodation and food services:   Workers 16 years and over -- (Estimate)"
B08526m12,"Arts, entertainment, and recreation, and accommodation and food services:   Workers 16 years and over -- (Margin of Error)"
B08526e13,Other services (except public administration):   Workers 16 years and over -- (Estimate)
B08526m13,Other services (except public administration):   Workers 16 years and over -- (Margin of Error)
B08526e14,Public administration:   Workers 16 years and over -- (Estimate)
B08526m14,Public administration:   Workers 16 years and over -- (Margin of Error)
B08526e15,Armed forces:   Workers 16 years and over -- (Estimate)
B08526m15,Armed forces:   Workers 16 years and over -- (Margin of Error)
B08526e16,"Car, truck, or van - drove alone:   Workers 16 years and over -- (Estimate)"
B08526m16,"Car, truck, or van - drove alone:   Workers 16 years and over -- (Margin of Error)"
B08526e17,"Car, truck, or van - drove alone:  Agriculture, forestry, fishing and hunting, and mining:   Workers 16 years and over -- (Estimate)"
B08526m17,"Car, truck, or van - drove alone:  Agriculture, forestry, fishing and hunting, and mining:   Workers 16 years and over -- (Margin of Error)"
B08526e18,"Car, truck, or van - drove alone:  Construction:   Workers 16 years and over -- (Estimate)"
B08526m18,"Car, truck, or van - drove alone:  Construction:   Workers 16 years and over -- (Margin of Error)"
